n_clusters,silhouette,davies_bouldin,calinski_harabasz,noise_points,model,eps,min_samples,fit_seconds
325,0.5495443815942229,0.557479898078016,314.2530330035947,97669,dbscan,0.3,5,8.6184
5,0.6925072807329404,0.371790898632752,624.3328513880657,99937,dbscan,0.3,10,8.4424
0,,,,100000,dbscan,0.3,20,8.7175
1420,0.2605516417097846,1.0243467407658047,129.37454845321136,85330,dbscan,0.5,5,8.3847
133,0.2958239174509276,1.038481912013071,176.1164108139519,97215,dbscan,0.5,10,8.3294
5,0.5600642444011162,0.6713200341881883,191.36213678309957,99863,dbscan,0.5,20,14.1157
2657,0.13132321766549573,1.35998937418891,117.36574269972836,42537,dbscan,0.8,5,14.9192
862,0.1412025534669407,1.4802135580566023,185.03375140823817,65070,dbscan,0.8,10,13.4669
239,0.18820464579717167,1.4197256726005678,273.5522144267548,83748,dbscan,0.8,20,5.7571
2985,0.11872229642359655,1.5804153801918566,112.43418207586447,31895,dbscan,1.0,5,6.7325
1255,0.13953905625546487,1.6995989096584176,169.65300290296557,51602,dbscan,1.0,10,9.7473
399,0.16300337383558433,1.742224120303922,255.69750134879934,72776,dbscan,1.0,20,7.1949
842,-0.08618804861220922,1.8189029234070808,136.0424867029948,10799,dbscan,1.2,5,7.1234
536,-0.06305042085744217,1.8620271017023624,188.1552798924548,22114,dbscan,1.2,10,8.6795
281,-0.004299056989621989,1.9478498403139568,292.0873207605515,40471,dbscan,1.2,20,7.2005
