n_clusters,silhouette,davies_bouldin,calinski_harabasz,noise_points,model,k,linkage,fit_seconds,note
2,0.25086171082375713,1.5149513129447911,767.2262071682716,0,agglomerative,2,ward,0.4657,PCA-reduced (10 comps) + subsampled (max 3000)
3,0.23529320012064545,1.4792723678178998,739.9682665077094,0,agglomerative,3,ward,0.4064,PCA-reduced (10 comps) + subsampled (max 3000)
4,0.13903306234912347,2.2622522136758603,586.6994569677328,0,agglomerative,4,ward,0.4553,PCA-reduced (10 comps) + subsampled (max 3000)
5,0.13352198724978553,2.0343743569999946,508.5371775138046,0,agglomerative,5,ward,0.4301,PCA-reduced (10 comps) + subsampled (max 3000)
6,0.1399334657991519,1.9043953374434646,467.983176630834,0,agglomerative,6,ward,0.1514,PCA-reduced (10 comps) + subsampled (max 3000)
7,0.13859507667831641,1.8264610634652894,445.5502428524899,0,agglomerative,7,ward,0.1401,PCA-reduced (10 comps) + subsampled (max 3000)
8,0.1501120259487113,1.689661405365658,423.5010923651657,0,agglomerative,8,ward,0.12,PCA-reduced (10 comps) + subsampled (max 3000)
9,0.13729143892442436,1.7284309173153984,399.58685932701087,0,agglomerative,9,ward,0.114,PCA-reduced (10 comps) + subsampled (max 3000)
10,0.1315622513333513,1.8393547614601098,375.7993745439654,0,agglomerative,10,ward,0.1446,PCA-reduced (10 comps) + subsampled (max 3000)
2,0.25086171082375713,1.5149513129447911,767.2262071682716,0,agglomerative,2,complete,0.1475,PCA-reduced (10 comps) + subsampled (max 3000)
3,0.2274007925216202,1.4323022453316874,648.8058649063947,0,agglomerative,3,complete,0.1374,PCA-reduced (10 comps) + subsampled (max 3000)
4,0.21477745016929567,1.3668611028204307,508.2164064112936,0,agglomerative,4,complete,0.1432,PCA-reduced (10 comps) + subsampled (max 3000)
5,0.12821115830639673,2.0734463082812136,462.2309697862915,0,agglomerative,5,complete,0.1917,PCA-reduced (10 comps) + subsampled (max 3000)
6,0.1295517349370117,2.0210892987111424,414.1651081442318,0,agglomerative,6,complete,0.1422,PCA-reduced (10 comps) + subsampled (max 3000)
7,0.13225102215030674,2.217690097181856,396.43056407554974,0,agglomerative,7,complete,0.1521,PCA-reduced (10 comps) + subsampled (max 3000)
8,0.10942220800850525,2.2410618018101127,348.9337761912319,0,agglomerative,8,complete,0.1477,PCA-reduced (10 comps) + subsampled (max 3000)
9,0.10827911938969705,2.1674343812690693,317.45797138496374,0,agglomerative,9,complete,0.1328,PCA-reduced (10 comps) + subsampled (max 3000)
10,0.09616010006896979,2.1736016617498715,312.01080697937243,0,agglomerative,10,complete,0.1393,PCA-reduced (10 comps) + subsampled (max 3000)
2,0.25086171082375713,1.5149513129447911,767.2262071682716,0,agglomerative,2,average,0.1326,PCA-reduced (10 comps) + subsampled (max 3000)
3,0.22843005398551258,1.5509413944632156,739.8550830133634,0,agglomerative,3,average,0.1568,PCA-reduced (10 comps) + subsampled (max 3000)
4,0.21096652945886132,1.5820251394288998,575.8138006622828,0,agglomerative,4,average,0.1353,PCA-reduced (10 comps) + subsampled (max 3000)
5,0.1556529955869291,1.5567185993882628,441.7170558064368,0,agglomerative,5,average,0.1397,PCA-reduced (10 comps) + subsampled (max 3000)
6,0.1367311106734896,1.5275675851031416,356.88805075554177,0,agglomerative,6,average,0.1261,PCA-reduced (10 comps) + subsampled (max 3000)
7,0.10526179030418535,1.5159914595728057,298.37994563294285,0,agglomerative,7,average,0.1393,PCA-reduced (10 comps) + subsampled (max 3000)
8,0.08753466544455972,1.4791910580403802,256.9711514576779,0,agglomerative,8,average,0.168,PCA-reduced (10 comps) + subsampled (max 3000)
9,0.08721805330044188,1.635237115044536,257.4042173248253,0,agglomerative,9,average,0.1545,PCA-reduced (10 comps) + subsampled (max 3000)
10,0.09145549781824207,1.7040948132595133,244.72016410918107,0,agglomerative,10,average,0.1711,PCA-reduced (10 comps) + subsampled (max 3000)
